currentLocation,count
POINT (-0.6024375446853782 3515.4558801586313),37
POINT (-1.4935589210692042 3587.107416492535),10
POINT (-1.7038042828217366 3583.6997279488023),13
POINT (-10.355978118767254 3472.3896742182696),42
POINT (-10.88658609394809 4100.315455749981),2
POINT (-100.02353737703987 3576.9071575143835),48
POINT (-100.81570932262191 3799.2594196304344),16
POINT (-100.94272074299435 5328.444832535462),1
POINT (-1001.888808949487 3002.8258189256917),10
POINT (-1004.2513891859523 3073.5372746080293),14
POINT (-1009.0079846352935 5800.417768820647),3
POINT (-1011.1007975934829 1342.738828543158),24
POINT (-1013.3883504309106 5800.415596126734),1
POINT (-1016.1007702949528 1448.9309138248868),25
POINT (-1019.3394581327045 5779.329602608217),8
POINT (-1020.9014418824669 3720.5057617950456),6
POINT (-1021.5011386286116 1340.518679223127),1
POINT (-1023.5928882400924 2417.845832751361),27
POINT (-1023.8165705255449 1578.3713681439597),51
POINT (-1023.9750342307079 1604.4723526925143),1
POINT (-1024.6910170221672 4259.526732425507),1
POINT (-1025.4630206407976 1458.3944579281979),1
POINT (-1025.5174396682794 5752.967329553626),7
POINT (-1025.5765717605177 5800.409550678585),3
POINT (-1028.9936711581183 5800.407855771948),1
POINT (-103.17630940311126 4741.534871639929),1
POINT (-103.2496773248086 4741.536839407588),1
POINT (-1033.1767361471275 5766.179874318859),1
POINT (-1034.4629823865148 3711.3026228381386),2
POINT (-1037.028201785685 5751.6971339200745),5
POINT (-1037.486578142945 3616.7432205529217),32
POINT (-1038.2341613754115 3696.6890925629405),19
POINT (-1038.5247484981246 4260.503999645982),1
POINT (-1040.120487147789 4260.616728671948),1
POINT (-1041.1222854526757 4438.523075592422),1
POINT (-1043.7187843417978 5764.542796754934),20
POINT (-1045.139261625109 3697.1814495576523),13
POINT (-1046.2766735727275 5761.360212617031),13
POINT (-1049.6293260187585 1604.144828574189),3
POINT (-1049.6563710600522 5800.397606919593),1
POINT (-1053.4081896612245 4437.800350215219),1
POINT (-1053.9623688225518 3672.898209871272),1
POINT (-1053.9791014912012 5800.395462813248),1
POINT (-1059.1803445972816 4437.460799883178),1
POINT (-1062.346058478995 3495.849766278384),63
POINT (-1062.3917750966539 3462.1311770701623),32
POINT (-1063.4391595703562 3672.757903842452),1
POINT (-1063.6047304911226 2912.0056820197597),40
POINT (-1064.2473286048946 2411.2311430629634),35
POINT (-1064.288007555621 4437.160338673687),1
POINT (-1067.3993095225526 1603.079320352066),2
POINT (-1068.7657761917137 3485.8168341163882),36
POINT (-1069.2315403471373 3063.548904359576),25
POINT (-1069.3684438965927 4296.860839947885),1
POINT (-1070.296288389467 4305.945069510682),1
POINT (-1071.5439580732354 5800.386750514149),1
POINT (-1076.5842362188507 2994.728261285693),18
POINT (-1080.345076404588 4351.78174096284),1
POINT (-1082.1517112343367 4903.997861987665),18
POINT (-1083.485265163434 3068.2882291896303),1
POINT (-1083.6431931491577 5800.409186529823),1
POINT (-1084.1001740813497 5838.421624534575),1
POINT (-1084.6352039399424 5849.920876975028),1
POINT (-1085.3312475748262 4441.541383344765),8
POINT (-1087.244210251766 5938.80953244932),4
POINT (-1087.765471814727 3672.3977472918154),1
POINT (-1088.4668511773325 3672.387363211837),1
POINT (-1089.2223347397646 4434.061251836587),1
POINT (-1089.4115001908374 4434.035359667518),1
POINT (-1090.970261012007 4913.067964562761),6
POINT (-1092.1132308236133 4480.78199031068),11
POINT (-1094.21346581806 4463.625531280675),15
POINT (-1094.3473960861036 4903.664078261315),12
POINT (-1095.5722462905467 4462.763880377271),18
POINT (-1095.6790911952705 4441.978368201311),17
POINT (-1096.0839701505342 4912.223245927846),1
POINT (-1097.4417089678443 5800.701210400303),4
POINT (-1097.9183712943125 5800.711298208247),1
POINT (-1098.4946598587085 4432.792095083715),1
POINT (-1099.1473597894521 4481.415745238449),12
POINT (-1099.4964636673494 4466.941850849037),9
POINT (-1099.8182546721594 3030.9610314766505),38
POINT (-11.00642606227646 1659.5769992519374),1
POINT (-110.98029126036803 4741.744178687833),1
POINT (-1100.1979485125464 4432.558956117019),2
POINT (-1100.628103356437 2991.8794309319906),41
POINT (-1101.1108526976682 1199.62165211216),1
POINT (-1101.839043256292 2497.570196722187),38
POINT (-1102.4207636750407 4467.718834563965),15
POINT (-1102.46161691076 4461.025537796421),12
POINT (-1102.480669073515 5212.65019306303),1
POINT (-1104.2378264885429 4913.034011857987),16
POINT (-1104.6810874856722 4468.581510395101),1
POINT (-1105.6539039822856 3719.078682907225),23
POINT (-1107.227708359132 3065.5453427229895),22
POINT (-1108.2464214960403 4920.696919985608),3
POINT (-1109.4242120766467 1600.5594598695986),2
POINT (-1111.2507784205893 4393.2694155714635),1
POINT (-1111.6681871148942 3811.427686026674),40
POINT (-1112.2222080610272 4478.701997927602),13
POINT (-1112.4277211299568 4477.420799624068),6
POINT (-1112.5213981718039 5007.8705380253805),1
POINT (-1112.661584948115 3805.031831293623),1
POINT (-1113.8044992533053 4386.3620784193545),66
POINT (-1114.4179685170473 5801.0604862155415),1
POINT (-1114.6344697094144 4352.64625706697),1
POINT (-1116.3799220215722 5801.10200787364),1
POINT (-1117.8112263202204 2920.893385477977),1
POINT (-1118.916899098813 5801.155699000654),1
POINT (-112.43156279187211 1665.2703079097776),1
POINT (-1130.1193865733924 2802.8119711319755),53
POINT (-1130.8113181627405 2817.328059404481),1
POINT (-1130.8113181627405 2900.180320263278),1
POINT (-1131.3110713899086 2909.6247381786993),30
POINT (-1133.5860016991571 4009.946794086544),23
POINT (-1136.55248268035 5801.528928371357),1
POINT (-1139.1551798779526 4353.2644817359505),4
POINT (-1139.5795486962304 5973.250990192849),2
POINT (-1141.0459901695174 4578.59666828425),1
POINT (-1142.1337111008247 3196.0977945056115),31
POINT (-1142.1623880556635 1598.5964419705945),2
POINT (-1142.8809752116933 2659.65906752698),1
POINT (-1143.1024501174238 5801.667548123483),1
POINT (-1143.1739513334599 2899.1815293197105),47
POINT (-1143.7006673513288 2668.6138248307893),2
POINT (-1144.6955513270343 4763.803795472717),1
POINT (-1145.6130978747685 3858.943247054939),1
POINT (-1148.6835412779149 5801.785663134084),1
POINT (-1149.9382750319573 2736.756802218917),2
POINT (-1150.5117354882846 4425.6722171725105),1
POINT (-1151.262659752161 4274.7495754625415),1
POINT (-1151.7189478991966 4293.806193494919),1
POINT (-1152.1826440043317 4393.3613513259925),1
POINT (-1152.2300044801163 4315.150184389265),4
POINT (-1152.5680468358817 4377.544258047108),1
POINT (-1152.6192736785297 4375.441887015505),1
POINT (-1152.8932387121413 4364.198247537404),1
POINT (-1152.9371584075298 4344.684070755507),1
POINT (-1155.7163096080212 2789.0090426141173),1
POINT (-1157.0128162537617 1596.7966910444525),1
POINT (-1162.548090393059 5843.775022108395),1
POINT (-1162.8818181313754 5854.457222884596),2
POINT (-1162.9191902913742 4489.935192244259),46
POINT (-1163.2812977604474 5858.198699106748),1
POINT (-1164.1574953208049 5848.653313712345),1
POINT (-1164.6713584195022 5832.301861279376),2
POINT (-1164.9754466222764 2854.739824583495),1
POINT (-1165.4396742532404 5802.140280316832),8
POINT (-1166.439799946012 2652.5715071002023),2
POINT (-1167.436674797809 5851.6530508100295),1
POINT (-1167.897947576278 5842.608007270567),1
POINT (-1168.3001828894135 1524.4289840643512),2
POINT (-1169.5016072323497 5837.127524310715),2
POINT (-117.98118393582054 4108.673046219967),1
POINT (-1170.5553836504484 5802.248546254855),1
POINT (-1170.7395853797132 5861.512842836353),1
POINT (-1170.7529953014646 5011.862169296553),1
POINT (-1170.7582690148722 2922.9487140727197),1
POINT (-1171.1651778202095 4738.9518350728185),3
POINT (-1171.3757979858487 5839.618014482466),2
POINT (-1173.4246347398423 1496.31330959489),3
POINT (-1173.7212866401296 5861.520585508014),1
POINT (-1174.2241858463622 3671.105315087662),1
POINT (-1174.4927770574122 4717.229896771253),1
POINT (-1174.5881994848733 5838.017197925027),1
POINT (-1176.6989055164295 4726.117600229471),2
POINT (-1176.8013302032396 5846.6471242364805),9
POINT (-1177.1395970165747 5832.21251233178),1
POINT (-1177.3940385093294 3671.057859772406),1
POINT (-1178.7526125714032 4466.470304755871),49
POINT (-1179.130492297995 5853.752563631371),2
POINT (-1179.2526263491454 4719.210263077362),2
POINT (-118.7567402282582 4108.795951671879),1
POINT (-1181.6060163392276 4266.975232237497),1
POINT (-1182.3044819683141 5855.778701140067),1
POINT (-1182.3890945811888 4712.273625954309),2
POINT (-1182.721609432994 2393.2950956797463),32
POINT (-1183.6353250747331 2605.068020437779),37
POINT (-1183.7067920410168 2715.4569198432737),1
POINT (-1184.0936709665712 5844.34111852147),1
POINT (-1184.4455391607141 4734.956889458438),1
POINT (-1184.4882377126924 5802.580683049288),1
POINT (-1185.0345615988056 4266.8512749638485),1
POINT (-1185.8927533456197 5974.246392513841),1
POINT (-1186.105753880483 5860.338542094981),2
POINT (-1186.7911153846524 5847.986239298526),1
POINT (-1187.3433783979099 5845.010046672555),2
POINT (-1187.4989249294488 5851.6093045088),1
POINT (-1187.5949995172425 5802.665856420598),1
POINT (-1189.130767060959 4738.014092316963),2
POINT (-1189.1372493227227 5835.543906650453),1
POINT (-1189.5514924340619 2890.7553818484876),29
POINT (-1189.783206084757 5837.673301982881),1
POINT (-1189.849287614155 5860.2379813345915),1
POINT (-1189.9012676288396 5841.827462534652),3
POINT (-1190.2564053501353 5835.490609560129),1
POINT (-1190.396090780912 5845.301708838452),1
POINT (-1190.6331933238191 4711.858338520478),1
POINT (-1190.9491044172587 2889.1141360057463),1
POINT (-1191.055695601558 2563.5297893081547),34
POINT (-1191.2779946228918 1445.9622213270238),1
POINT (-1191.40057085254 5837.059929972063),1
POINT (-1191.670795165674 5837.143264492249),2
POINT (-1192.0067655955559 1588.9437316014332),1
POINT (-1193.2265869843982 5802.820249103585),1
POINT (-1194.0175644198266 2713.530791786246),47
POINT (-1194.032895422507 3670.9617703396466),2
POINT (-1194.2884950303803 5802.849361824156),1
POINT (-1196.639293482018 2875.2701617305843),59
POINT (-1197.4724705160024 2392.859100125612),1
POINT (-1198.6242486468163 3068.55143298963),37
POINT (-1199.6935402565507 2912.16419585481),33
POINT (-1199.851719928422 2909.326175390639),4
POINT (-1199.9352560712707 3671.208720733735),1
POINT (-1201.2040384496179 1232.178128632413),1
POINT (-1201.9808748054315 2998.612458380545),20
POINT (-1202.5939428354848 1414.0483232697836),1
POINT (-1203.725149070991 3310.658116727257),38
POINT (-1204.5374687579838 5803.130342375536),1
POINT (-1207.1161522236457 2895.895189664184),55
POINT (-1207.3960298773868 4944.989425027735),1
POINT (-1208.2772308572128 4266.010948325157),1
POINT (-1208.4206181781196 4932.794451241286),1
POINT (-1208.5216286996836 1381.3567216137642),2
POINT (-1208.9472386322848 3942.302893575663),23
