currentLocation,count
POINT (-0.6024375446853782 3515.4558801586313),12
POINT (-1.4935589210692042 3587.107416492535),5
POINT (-1.7038042828217366 3583.6997279488023),10
POINT (-10.355978118767254 3472.3896742182696),11
POINT (-10.88658609394809 4100.315455749981),1
POINT (-100.02353737703987 3576.9071575143835),18
POINT (-100.81570932262191 3799.2594196304344),19
POINT (-1001.888808949487 3002.8258189256917),13
POINT (-1004.2513891859523 3073.5372746080293),12
POINT (-1009.0079846352935 5800.417768820647),1
POINT (-1011.1007975934829 1342.738828543158),9
POINT (-1013.3883504309106 5800.415596126734),1
POINT (-1016.1007702949528 1448.9309138248868),16
POINT (-1019.3394581327045 5779.329602608217),2
POINT (-1020.9014418824669 3720.5057617950456),5
POINT (-1022.0316634132713 5800.411308979409),1
POINT (-1023.5928882400924 2417.845832751361),9
POINT (-1023.8165705255449 1578.3713681439597),18
POINT (-1025.4630206407976 1571.1658211045055),1
POINT (-1025.5765717605177 5800.409550678585),1
POINT (-1031.5318039812523 3673.2302994531583),1
POINT (-1033.1767361471275 5766.179874318859),1
POINT (-1037.028201785685 5751.6971339200745),6
POINT (-1037.486578142945 3616.7432205529217),13
POINT (-1038.2341613754115 3696.6890925629405),5
POINT (-1043.7187843417978 5764.542796754934),3
POINT (-1045.139261625109 3697.1814495576523),5
POINT (-1045.2258684552128 5800.3998044817345),1
POINT (-1046.2766735727275 5761.360212617031),8
POINT (-105.6973505118205 3807.476197674914),1
POINT (-1062.346058478995 3495.849766278384),26
POINT (-1062.3917750966539 3462.1311770701623),19
POINT (-1063.6047304911226 2912.0056820197597),15
POINT (-1064.2473286048946 2411.2311430629634),17
POINT (-1068.7657761917137 3485.8168341163882),15
POINT (-1069.2315403471373 3063.548904359576),8
POINT (-1069.4421383111785 3492.2812374050454),1
POINT (-1073.5893230392635 4262.946706891452),1
POINT (-1075.7904866966203 5800.384644204466),1
POINT (-1076.5842362188507 2994.728261285693),9
POINT (-1082.1517112343367 4903.997861987665),1
POINT (-1085.3312475748262 4441.541383344765),8
POINT (-1087.7548087860996 5965.616931115755),1
POINT (-1090.970261012007 4913.067964562761),2
POINT (-1092.1132308236133 4480.78199031068),8
POINT (-1094.21346581806 4463.625531280675),3
POINT (-1094.3473960861036 4903.664078261315),7
POINT (-1095.5722462905467 4462.763880377271),3
POINT (-1095.6790911952705 4441.978368201311),3
POINT (-1096.0839701505342 4912.223245927846),1
POINT (-1099.1473597894521 4481.415745238449),6
POINT (-1099.4964636673494 4466.941850849037),4
POINT (-1099.8182546721594 3030.9610314766505),12
POINT (-1100.1979485125464 4432.558956117019),1
POINT (-1100.628103356437 2991.8794309319906),13
POINT (-1101.1108526976682 1199.62165211216),1
POINT (-1101.839043256292 2497.570196722187),8
POINT (-1102.4207636750407 4467.718834563965),5
POINT (-1102.46161691076 4461.025537796421),5
POINT (-1102.480669073515 5212.65019306303),1
POINT (-1104.2378264885429 4913.034011857987),5
POINT (-1105.6539039822856 3719.078682907225),19
POINT (-1107.227708359132 3065.5453427229895),2
POINT (-1108.2464214960403 4920.696919985608),2
POINT (-1108.7013252400461 3076.5769666578326),1
POINT (-1110.383643516312 1600.5019312800357),1
POINT (-1111.6681871148942 3811.427686026674),12
POINT (-1112.2222080610272 4478.701997927602),3
POINT (-1112.661584948115 3725.721049240871),1
POINT (-1113.8044992533053 4386.3620784193545),17
POINT (-1130.1193865733924 2802.8119711319755),20
POINT (-1130.8113181627405 2900.180320263278),1
POINT (-1131.3110713899086 2909.6247381786993),22
POINT (-1133.5860016991571 4009.946794086544),15
POINT (-1139.5795486962304 5973.250990192849),1
POINT (-1142.1337111008247 3196.0977945056115),9
POINT (-1142.1623880556635 1598.5964419705945),2
POINT (-1143.1739513334599 2899.1815293197105),6
POINT (-1143.7006673513288 2668.6138248307893),1
